hall,main_location,sub_location,sort_order
北大第一會堂,1F 門口,,1
北大第一會堂,1F 會堂,控台區,2
北大第一會堂,1F 會堂,舞台區,3
北大第一會堂,2F 視訊區,,4
北大第二會堂,1F 大廳,,5
北大第二會堂,1F 長櫃台,,6
北大第二會堂,1F 書房,櫃檯區,7
北大第二會堂,1F 書房,,8
北大第二會堂,1F 梯間,,9
北大第二會堂,1F 短櫃台,,10
北大第二會堂,2F 梯廳,,11
北大第二會堂,2F 貴賓室,,12
北大第二會堂,2F 會堂,天花板,13
北大第二會堂,2F 會堂,夾層,14
北大第二會堂,2F 會堂,後區,15
北大第二會堂,2F 會堂,側區,16
北大第二會堂,2F 會堂,舞台區,17
北大第二會堂,2F 會堂,貓道,18
北大第二會堂,2F 會堂,翻譯室,19
北大第二會堂,2F 準備室,,20
北大第二會堂,3F 座位區,,21
北大第二會堂,3F 控台區,,22
北大第二會堂,3F 梯廳,,23
北大第二會堂,3F 導播室,機房,24
北大第二會堂,3F 導播室,,25
北大第二會堂,3F 辦公室,,26
北大第二會堂,3F 翻譯室,,27
北大第二會堂,4F A教室,,28
北大第二會堂,4F B教室,,29
北大第二會堂,4F C教室,,30
北大第二會堂,4F 走廊區,,31
北大第二會堂,4F 牧師辦公室,,32
北大第二會堂,4F 梯廳,,33
北大第二會堂,4F 親子教室,,34
北大第二會堂,4F 辦公室,,35
北大第二會堂,5F 夾層,,36
北大第二會堂,5F 辦公室,,37
台北幸福會堂,1F 天花板,,38
台北幸福會堂,1F 開放空間,,39
台北幸福會堂,1F 機房,,40
台北幸福會堂,1F 櫃台,,41
台北幸福會堂,B1 主會堂,右區,42
台北幸福會堂,B1 主會堂,左區,43
台北幸福會堂,B1 主會堂,控台區,44
台北幸福會堂,B1 主會堂,會眾區,45
台北幸福會堂,B1 主會堂,舞台區,46
台北幸福會堂,B1 主會堂,貓道,47
台北幸福會堂,B1 副會堂,天花板,48
台北幸福會堂,B1 副會堂,副控區,49
台北幸福會堂,B1 副會堂,控台區,50
台北幸福會堂,B1 副會堂,會眾區,51
台北幸福會堂,B1 副會堂,舞台區,52
台北幸福會堂,B1 副會堂,貓道,53
台北幸福會堂,B2 A教室,,54
台北幸福會堂,B2 B教室,,55
台北幸福會堂,B2 C教室,,56
台北幸福會堂,B2 D教室,,57
台北幸福會堂,B2 E教室,,58
台北幸福會堂,B2 倉庫,,59
台北幸福會堂,B2 開放空間,控台區,60
台北幸福會堂,B2 開放空間,,61
飛航福音中心,1F 控台區,,62
飛航福音中心,1F 會堂,,63
飛航福音中心,2F 視訊區,,64
桃園會堂,1F 大廳,入口處,65
桃園會堂,1F 大廳,天花板,66
桃園會堂,1F 主會堂,天花板,67
桃園會堂,1F 主會堂,技術區,68
桃園會堂,1F 主會堂,相機櫃,69
桃園會堂,1F 主會堂,控台區,70
桃園會堂,1F 主會堂,設備架,71
桃園會堂,1F 主會堂,會眾區,72
桃園會堂,1F 主會堂,舞台區,73
桃園會堂,1F 機房,,74
桃園會堂,1F 櫃檯區,,75
桃園會堂,2F A教室,,76
桃園會堂,2F B教室,,77
桃園會堂,2F 活動區,,78
飛航會堂,1F 梯間儲藏室,,79
飛航會堂,1F 走道,,80
飛航會堂,1F 後區,,81
飛航會堂,1F 廁所區,,82
飛航會堂,2F 多功能教室,,83
飛航會堂,2F 會客室,,84
飛航會堂,2F 牧師室,,85
飛航會堂,1F 小飛鷹入口,,86
飛航會堂,2F 小飛鷹教室,,87
飛航會堂,2F 廁所,,88
飛航會堂,2F 多功能教室 櫥櫃,櫥櫃,89
桃園會堂,1F 大廳,,90
桃園會堂,1F 大廳倉庫,,91
桃園會堂,1F 機房倉庫,,92
桃園會堂,1F 櫃台區,,93
桃園會堂,1F 櫃台區倉庫,,94
桃園會堂,1F 會堂,,95
桃園會堂,1F 庭園區,,96
桃園會堂,1F 男廁,,97
桃園會堂,1F 女廁,,98
桃園會堂,1F 無障礙廁所,,99
桃園會堂,1F 櫥窗區,,100
桃園會堂,2F 講員接待室,,101
桃園會堂,2F 辦公室,,102
桃園會堂,2F 親子室訓區,,103
桃園會堂,2F 女廁,,104
桃園會堂,2F A教室倉庫,,105
桃園會堂,2F B教室倉庫,,106
桃園會堂,1F 控台區,,107
桃園會堂,1F 副控室,,108
學而文創 & Cafe,1F 前景觀區,,109
學而文創 & Cafe,1F 座位區,,110
學而文創 & Cafe,1F 廚房,,111
學而文創 & Cafe,1F 男廁,,112
學而文創 & Cafe,1F 女廁,,113
學而文創 & Cafe,1F VIP包廂,,114
學而文創 & Cafe,1F 後院,,115
學而文創 & Cafe,1F 廚房倉庫,,116
學而文創 & Cafe,1F 舞台區,,117
學而文創 & Cafe,2F 陽光教室,,118
學而文創 & Cafe,2F 走道區,,119
學而文創 & Cafe,2F 綠光教室,,120
學而文創 & Cafe,2F 廁所,,121
學而文創 & Cafe,3F 倉庫,,122
台北幸福,1F 開放空間,,123
台北幸福,1F 休息室,,124
台北幸福,1F 機房,,125
台北幸福,B1 夾層廁所,,126
台北幸福,B1 夾層倉庫,,127
台北幸福,B1 梯間,,128
台北幸福,B1 倉庫,,129
台北幸福,B1 主會堂,,130
台北幸福,B1 男廁,,131
台北幸福,B1 女廁,,132
台北幸福,B1 副堂,,133
台北幸福,B2 教室,,134
台北幸福,B2 辦公室,,135
台北幸福,B2 副控室,,136
台北幸福,B2 男廁,,137
台北幸福,B2 女廁,,138
台北幸福,B2 親子廁所,,139
台北幸福,B2 哺乳室,,140
卓越大學教會,北大分會,,141
卓越大學教會,台大分會,,142
台北幸福會堂,B1 主會堂,右區天花板,143
台北幸福會堂,B1 主會堂,左區天花板,144
